biofloc,temp,timing,light,rep,date,day,dead,live,L:D1,L:D2,total,image #
Low,27 C,Day 0,High,2,190704,1,22,0,0,0.042559614,22,159
Control,27 C,Control,High,2,190704,1,21,0,0,0.044451763,21,166
High,27 C,Day 2,High,1,190704,1,12,0,0,0.074107972,12,165
High,27 C,Day 2,Low,1,190703,1,10,0,0,0.087011377,10,95
High,24 C,Day 1,Low,2,190703,1,7,0,0,0.117783036,7,48
High,27 C,Day 0,High,1,190704,1,5,0,0,0.15415068,5,140
Low,27 C,Day 1,High,2,190704,1,9,1,0.301029996,0.182321557,10,155
High,24 C,Day 2,High,1,190703,1,24,4,0.5,0.182321557,28,158
High,24 C,Day 2,High,2,190703,1,20,4,0.528633947,0.2135741,24,181
Control,27 C,Control,High,1,190704,1,17,4,0.556827304,0.245122458,21,131
Low,24 C,Day 1,High,1,190703,1,2,0,0,0.287682072,2,176
Low,27 C,Day 2,Low,2,190703,1,2,0,0,0.287682072,2,126
Low,27 C,Day 1,High,1,190704,1,12,4,0.627473563,0.3254224,16,125
High,24 C,Day 1,High,1,190703,1,6,2,0.564575034,0.356674944,8,162
Low,27 C,Day 2,High,1,190704,1,6,2,0.564575034,0.356674944,8,150
Low,27 C,Day 0,Low,2,190703,1,1,0,0,0.405465108,1,141
Low,27 C,Day 1,Low,2,190703,1,1,0,0,0.405465108,1,101
Low,27 C,Day 2,High,2,190704,1,1,0,0,0.405465108,1,175
High,24 C,Day 0,Low,1,190703,1,2,1,0.630929754,0.510825624,3,64
Low,24 C,Day 2,High,1,190703,1,11,10,0.964984046,0.650587566,21,184
High,24 C,Day 0,Low,2,190703,1,1,1,1,0.693147181,2,67
High,24 C,Day 1,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,31
High,24 C,Day 2,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,56
High,24 C,Day 2,Low,2,190703,1,0,0,#DIV/0!,0.693147181,0,46
High,27 C,Day 0,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,146
High,27 C,Day 0,Low,2,190703,1,0,0,#DIV/0!,0.693147181,0,136
High,27 C,Day 1,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,111
High,27 C,Day 1,Low,2,190703,1,0,0,#DIV/0!,0.693147181,0,116
High,27 C,Day 2,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,105
Low,24 C,Day 0,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,60
Low,24 C,Day 0,Low,2,190703,1,0,0,#DIV/0!,0.693147181,0,76
Low,24 C,Day 1,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,26
Low,24 C,Day 1,Low,2,190703,1,0,0,#DIV/0!,0.693147181,0,51
Low,24 C,Day 2,Low,2,190703,1,0,0,#DIV/0!,0.693147181,0,41
Low,24 C,Day 2,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,36
Low,27 C,Day 1,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,91
Low,27 C,Day 2,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,121
Control,24 C,Control,High,1,190703,1,0,0,#DIV/0!,0.693147181,0,147
Control,24 C,Control,High,2,190703,1,0,0,#DIV/0!,0.693147181,0,152
Control,24 C,Control,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,12
Control,24 C,Control,Low,2,190703,1,0,0,#DIV/0!,0.693147181,0,17
Control,27 C,Control,Low,1,190703,1,0,0,#DIV/0!,0.693147181,0,77
Control,27 C,Control,Low,2,190703,1,0,0,#DIV/0!,0.693147181,0,82
Low,24 C,Day 2,High,2,190703,1,1,2,1.584962501,0.916290732,3,220
High,24 C,Day 1,High,2,190703,1,1,3,2,1.098612289,4,207
Low,24 C,Day 1,High,2,190703,1,0,1,#DIV/0!,1.098612289,1,201
Low,27 C,Day 0,Low,1,190703,1,0,1,#DIV/0!,1.098612289,0,131
High,27 C,Day 1,High,1,190704,1,1,5,2.584962501,1.386294361,6,26
Low,27 C,Day 0,High,1,190704,1,4,26,2.047818583,1.85629799,30,145
High,27 C,Day 2,High,2,190704,1,3,21,2.229715809,1.871802177,24,95
High,27 C,Day 1,High,2,190704,1,0,7,#DIV/0!,2.197224577,7,28
High,27 C,Day 0,High,2,190704,1,2,26,3,2.302585093,28,130
High,24 C,Day 0,High,2,190703,1,6,77,2.238905444,2.496741107,83,188
High,24 C,Day 0,High,1,190703,1,3,50,2.836212671,2.621038824,53,3
Low,24 C,Day 0,High,2,190703,1,1,96,6.599912842,3.90197267,97,214
Low,24 C,Day 0,High,1,190703,1,0,82,#DIV/0!,4.430816799,82,196
High,27 C,Day 2,Low,2,190704,2,16,0,0,0.057158414,16,178
High,27 C,Day 0,Low,2,190704,2,14,0,0,0.064538521,14,65
High,24 C,Day 0,Low,1,190704,2,12,0,0,0.074107972,12,46
Control,27 C,Control,Low,1,190704,2,11,0,0,0.080042708,11,111
High,24 C,Day 0,Low,2,190704,2,23,1,0.218104292,0.080042708,22,51
Low,24 C,Day 0,Low,2,190704,2,22,1,0.221064729,0.083381609,23,60
High,27 C,Day 1,Low,1,190704,2,9,0,0,0.09531018,9,185
