id,biofloc,temp,timing,light,day,date,rep,shrimp,length,length.px,width,width.px,LW.ratio,mag,camera
742,Low,27 C,Day 1,Low,1,190703,1,1,400.0828571,1400.29,210.2857143,736,1.902567935,10x,2003
238,High,24 C,Day 2,High,1,190703,1,1,427.3942857,1495.88,204.8257143,716.89,2.086624168,10x,2003
637,Low,24 C,Day 2,Low,4,190706,1,1,436.8457143,1528.96,237.6142857,831.65,1.838465701,10x,2003
460,High,27 C,Day 2,Low,3,190705,1,1,438.1971429,1533.69,168.8142857,590.85,2.595734958,10x,2003
422,High,27 C,Day 2,High,1,190704,2,2,447.0914286,1564.82,214.76,751.66,2.081818907,10x,2003
778,Low,27 C,Day 2,High,2,190705,1,1,451.0371429,1578.63,176.5,617.75,2.555451234,10x,2003
808,Low,27 C,Day 2,Low,2,190704,2,1,451.9914286,1581.97,226.46,792.61,1.995899623,10x,2003
239,High,24 C,Day 2,High,1,190703,1,2,460.1342857,1610.47,252.24,882.84,1.824192379,10x,2003
184,High,24 C,Day 1,High,2,190704,1,1,460.4,1611.4,187.18,655.13,2.459664494,10x,2003
772,Low,27 C,Day 2,High,1,190704,1,1,461.9942857,1616.98,199.6028571,698.61,2.314567498,10x,2003
546,Low,24 C,Day 1,High,2,190704,1,3,466.7085714,1633.48,161.8514286,566.48,2.883561644,10x,2003
583,Low,24 C,Day 1,Low,4,190706,1,1,478.9257143,1676.24,204.4,715.4,2.343080794,10x,2003
242,High,24 C,Day 2,High,1,190703,2,2,479.3914286,1677.87,235.9,825.65,2.032180706,10x,2003
12,Control,24 C,Control,High,2,190704,2,3,482.3685714,1688.29,215.52,754.32,2.238161523,10x,2003
715,Low,27 C,Day 1,High,1,190704,2,1,486.5742857,1703.01,243.1971429,851.19,2.00074014,10x,2003
657,Low,27 C,Day 0,High,1,190704,3,3,497.6771429,1741.87,212.6257143,744.19,2.340625378,10x,2003
85,Control,27 C,Control,High,5,190708,2,1,499.6428571,1748.75,207.5714286,726.5,2.407088782,10x,2003
478,Low,24 C,Day 0,High,1,190703,1,1,505.6142857,1769.65,215.3771429,753.82,2.347576344,10x,2003
269,High,24 C,Day 2,Low,1,190703,1,2,507.9457143,1777.81,200.4171429,701.46,2.534442449,10x,2003
241,High,24 C,Day 2,High,1,190703,2,1,510,1785,230.7485714,807.62,2.210197865,10x,2003
243,High,24 C,Day 2,High,1,190703,2,3,510.0314286,1785.11,242.1428571,847.5,2.106324484,10x,2003
244,High,24 C,Day 2,High,2,190704,1,1,516.4428571,1807.55,178.44,624.54,2.894210139,10x,2003
240,High,24 C,Day 2,High,1,190703,1,3,518.2485714,1813.87,197.3142857,690.6,2.626513177,10x,2003
186,High,24 C,Day 1,High,2,190704,1,3,524.0228571,1834.08,256.4485714,897.57,2.043383803,10x,2003
718,Low,27 C,Day 1,High,2,190705,1,1,525.1171429,1837.91,172.58,604.03,3.042746221,10x,2003
283,High,24 C,Day 2,Low,3,190705,2,1,527.4314286,1846.01,224.4257143,785.49,2.35013813,10x,2003
403,High,27 C,Day 1,Low,3,190705,2,1,527.66,1846.81,224.4257143,785.49,2.351156603,10x,2003
655,Low,27 C,Day 0,High,1,190704,3,1,528.7285714,1850.55,190.0228571,665.08,2.782447224,10x,2003
268,High,24 C,Day 2,Low,1,190703,1,1,530.6228571,1857.18,182.8571429,640,2.90184375,10x,2003
270,High,24 C,Day 2,Low,1,190703,1,3,534.9371429,1872.28,192.8771429,675.07,2.77346053,10x,2003
364,High,27 C,Day 1,High,2,190705,1,1,538.7542857,1885.64,160.9457143,563.31,3.347428592,10x,2003
120,High,24 C,Day 0,High,1,190703,1,3,543.7371429,1903.08,238.6085714,835.13,2.278782944,10x,2003
247,High,24 C,Day 2,High,2,190704,1,1,545.0114286,1907.54,206.8285714,723.9,2.635087719,10x,2003
656,Low,27 C,Day 0,High,1,190704,3,2,548.8457143,1920.96,210.46,736.61,2.607838612,10x,2003
7,Control,24 C,Control,High,2,190704,1,1,549.3914286,1922.87,199.5771429,698.52,2.752777301,10x,2003
650,Low,27 C,Day 0,High,1,190704,1,2,553.1828571,1936.14,270.9314286,948.26,2.04178179,10x,2003
275,High,24 C,Day 2,Low,2,190704,1,2,553.9171429,1938.71,206.4371429,722.53,2.683224226,10x,2003
123,High,24 C,Day 0,High,1,190703,2,3,555.5285714,1944.35,213.68,747.88,2.599815478,10x,2003
119,High,24 C,Day 0,High,1,190703,1,2,556.4085714,1947.43,200.6114286,702.14,2.773563677,10x,2003
479,Low,24 C,Day 0,High,1,190703,1,2,558.8342857,1955.92,227.1742857,795.11,2.459936361,10x,2003
185,High,24 C,Day 1,High,2,190704,1,2,558.88,1956.08,227.1428571,795,2.460477987,10x,2003
154,High,24 C,Day 0,Low,2,190704,1,1,564.5057143,1975.77,215.7342857,755.07,2.616671302,10x,2003
10,Control,24 C,Control,High,2,190704,2,1,566.4971429,1982.74,271.1514286,949.03,2.089227949,10x,2003
547,Low,24 C,Day 1,High,2,190704,2,1,566.7028571,1983.46,216.2114286,756.74,2.621058752,10x,2003
118,High,24 C,Day 0,High,1,190703,1,1,567.2085714,1985.23,235.3685714,823.79,2.409873876,10x,2003
421,High,27 C,Day 2,High,1,190704,2,1,568.76,1990.66,245.5971429,859.59,2.315824986,10x,2003
649,Low,27 C,Day 0,High,1,190704,1,1,571.2942857,1999.53,227.7,796.95,2.508977979,10x,2003
427,High,27 C,Day 2,High,1,190704,2,1,572.3657143,2003.28,224.5085714,785.78,2.549415867,10x,2003
549,Low,24 C,Day 1,High,2,190704,2,3,572.3657143,2003.28,224.5085714,785.78,2.549415867,10x,2003
651,Low,27 C,Day 0,High,1,190704,1,3,575.0342857,2012.62,233.54,817.39,2.462251801,10x,2003
539,Low,24 C,Day 1,High,1,190703,1,2,580.7114286,2032.49,207.3828571,725.84,2.800190125,10x,2003
