ID,estuary,tran,plot,RTKele,MLLW,MHHW,TR,filter2,elrelHW
1,Grand_Bay,1,1,-0.463,-0.1111,0.3635,0.4746,0,-0.826457
2,Grand_Bay,1,2,-0.271,-0.1111,0.3635,0.4746,0,-0.634457
3,Grand_Bay,1,3,0.113,-0.1111,0.3635,0.4746,1,-0.250457
4,Grand_Bay,1,4,0.215,-0.1111,0.3635,0.4746,1,-0.148457
5,Grand_Bay,1,5,0.275,-0.1111,0.3635,0.4746,1,-0.0884573
6,Grand_Bay,1,6,0.277,-0.1111,0.3635,0.4746,1,-0.0864573
7,Grand_Bay,1,7,0.4,-0.1111,0.3635,0.4746,1,0.0365427
8,Grand_Bay,1,8,0.322,-0.1111,0.3635,0.4746,1,-0.0414573
9,Grand_Bay,2,9,-0.002,-0.1101,0.3694,0.4795,0,-0.37135
10,Grand_Bay,2,10,0.1,-0.1101,0.3694,0.4795,0,-0.26935
11,Grand_Bay,2,11,0.168,-0.1101,0.3694,0.4795,1,-0.20135
12,Grand_Bay,2,12,0.19,-0.1101,0.3694,0.4795,1,-0.17935
13,Grand_Bay,2,13,0.221,-0.1101,0.3694,0.4795,1,-0.14835
14,Grand_Bay,2,14,0.244,-0.1101,0.3694,0.4795,1,-0.12535
15,Grand_Bay,2,15,0.228,-0.1101,0.3694,0.4795,1,-0.14135
16,Grand_Bay,3,16,0.018,-0.11,0.3699,0.48,0,-0.351946
17,Grand_Bay,3,17,0.081,-0.11,0.3699,0.48,0,-0.288946
18,Grand_Bay,3,18,0.246,-0.11,0.3699,0.48,1,-0.123946
19,Grand_Bay,3,19,0.286,-0.11,0.3699,0.48,1,-0.083946
20,Grand_Bay,3,20,0.324,-0.11,0.3699,0.48,1,-0.045946
21,Grand_Bay,3,21,0.296,-0.1101,0.3699,0.4801,1,-0.073946
22,Grand_Bay,3,22,0.296,-0.1102,0.3699,0.4801,1,-0.073946
23,Grand_Bay,4,23,-0.059,-0.1062,0.3715,0.4777,0,-0.430476
24,Grand_Bay,4,24,0.008,-0.1062,0.3715,0.4777,0,-0.363476
25,Grand_Bay,4,25,0.101,-0.1062,0.3715,0.4777,1,-0.270476
26,Grand_Bay,4,26,0.174,-0.1062,0.3715,0.4777,1,-0.197476
27,Grand_Bay,4,27,0.226,-0.1062,0.3715,0.4777,1,-0.145476
28,Grand_Bay,4,28,0.37,-0.1068,0.3715,0.4783,1,-0.00147573
29,Grand_Bay,4,29,0.378,-0.1068,0.3715,0.4783,1,0.00652427
30,Grand_Bay,4,30,0.469,-0.1068,0.3715,0.4783,1,0.0975243
31,Grand_Bay,4,31,0.457,-0.1068,0.3715,0.4783,1,0.0855243
32,Grand_Bay,4,32,0.413,-0.1068,0.3715,0.4783,1,0.0415243
